Title,Price,Condition,Mileage,Year,Engine Capacity,Brand,Model
"2012 Proton SAGA 1.3 FL (A) 1 Owner, Mileage tulen",9800.0,Used,104999,2012.0,1332.0,Proton,SAGA
2015 Mazda 3 2.0 SDN HIGH SKYACTIV Leather SerRec,43777.0,Used,77499,2015.0,1998.0,Mazda,3
2016 Perodua MYVI 1.5 ADVANCE FACELIFT (A) ORI KM,29800.0,Used,124999,2016.0,1495.0,Perodua,MYVI
FULL LOAN 2022 Proton X50 TGDI FLAGSHIP 1.5L (A),79999.0,Used,37499,,1477.0,Proton,X50
FULL LOAN Toyota VELLFIRE 2.4 FACELIFT,78999.0,Used,104999,,2362.0,Toyota,VELLFIRE
Keyless 2011 LATIO 1.6 SPORT IMPUL (A) Hatchback,13800.0,Used,92499,,1598.0,Unknown,Unknown
2020 FULL LOAN Honda CIVIC 1.5 TC-P (A),107999.0,Used,62499,,1498.0,Honda,CIVIC
2019 Mercedes Benz A35 2.0 AMG (A) HIGH SPECS,203000.0,Recon,32499,,1991.0,Mercedes,Benz
F30 5YearsWarranty Nappa 2017 Bmw 318i 1.5 LCi,55800.0,Used,82499,,1499.0,BMW,318i
2016 FULL LOAN Honda CIVIC 1.8,68999.0,Used,104999,,1799.0,Honda,CIVIC
2025 Perodua ALZA 1.5 AV MY22 (A),78999.0,Used,2499,,1496.0,Perodua,ALZA
2020 Mercedes Benz GLC300 2.0 4MATIC AMG LINE (A),245000.0,Used,57499,,1991.0,Mercedes,Benz
2021 Porsche MACAN 2.0L 4WD PDLS 4 LED 360 Camera,318000.0,Recon,57499,,1984.0,Porsche,MACAN
2024 Proton X70 1.5 PREMIUM 2WD  MC2 (A),90000.0,New,2499,,1477.0,Proton,X70
2024 Proton SAGA 1.3 STANDARD AT MY19 FACELIFT (A),33000.0,New,2499,,1332.0,Proton,SAGA
Volkswagen Passat 1.8 (A) ENHANCED SPORT*WARRANTY,21800.0,Used,87499,2013.0,1798.0,Volkswagen,Passat
2025 Proton S70 1.5 FLAGSHIP X MY25 (A),71800.0,New,2499,,1477.0,Proton,S70
Volkswagen POLO SEDAN 1.6 LIMITED EDITION*WARRANTY,17800.0,Used,77499,2015.0,1598.0,Volkswagen,POLO
2025 Proton X50 1.5 TGDI FLAGSHIP MY20 (A),80000.0,New,2499,,1477.0,Proton,X50
2020 Perodua AXIA 1.0 SE (A)FULL LOAN,30800.0,Used,82499,2020.0,998.0,Perodua,AXIA
2014 Perodua MYVI 1.3 EZ (A)FULL LOAN,19800.0,Used,104999,2014.0,1298.0,Perodua,MYVI
2017 Toyota VIOS 1.5 E (A)FULL LOAN,45800.0,Used,92499,2017.0,1496.0,Toyota,VIOS
2019 Perodua MYVI 1.5 (A)FULL LOAN,38800.0,Used,72499,2019.0,1496.0,Perodua,MYVI
NEGO 2020 Range Rover VOGUE 5.0 AUTOBIOGRAPHY LWB,650000.0,Recon,47499,,4999.0,Unknown,Unknown
2021 Audi Q5 TFSI QUATTRO 2.0L FSR UNDER WARRANTY,248800.0,Used,52499,,1984.0,Audi,Q5
Mazda 3 2.0 SEDAN HIGH SKYACTIV FACELIFT FULL SRVR,65800.0,Used,92499,2017.0,1998.0,Mazda,3
2020 Lexus RX300 Version L 4Cam HUD BSM RX 300 NFL,232000.0,Recon,42499,,1998.0,Lexus,RX300
2021 Mercedes Benz C200 1.5 AMG Wagon  (A),188000.0,Recon,37499,,1497.0,Mercedes,Benz
NEW 2025 Proton SAGA 1.3 STANDARD PER REG  DISC 4K,34800.0,New,2499,,1332.0,Proton,SAGA
RECOND Toyota VELLFIRE 3.5 VL (A) FulLOAN🔥FulSPEC,200000.0,Recon,42499,,3456.0,Toyota,VELLFIRE
Honda CR-V 2.4 4WD FACELIFT (A)*WARRANTY*TIPTOP,38800.0,Used,77499,,2354.0,Honda,CR-V
Honda CR-V 2.4 4WD FACELIFT (A)*WARRANTY*TIPTOP,49800.0,Used,87499,2015.0,2354.0,Honda,CR-V
2020 Honda CIVIC 1.5 TC-P (A),108800.0,Used,82499,,1498.0,Honda,CIVIC
Honda CIVIC 2.0 NAVI FACELIFT (A)*TIPTOP *WARRANTY,44800.0,Used,82499,,1997.0,Honda,CIVIC
2016-Peugeot 408 1.6 GRIFFE THP (A)LOAN/CASH,11770.0,Used,97499,,1598.0,Peugeot,408
Honda ACCORD 2.4 I-VTEC (A) *TIPTOP *WARRANTY,40800.0,Used,87499,,2356.0,Honda,ACCORD
2017 Mercedes Benz C200 2.0 AMG LINE (CKD) (A),115800.0,Used,87499,,1991.0,Mercedes,Benz
2016-Peugeot 408 2.0 (A)LOAN/CASH,9770.0,Used,97499,,1997.0,Peugeot,408
Chevrolet CRUZE 1.8 SPORT EDITION mileage 42xxx,16770.0,Used,42499,,1796.0,Chevrolet,CRUZE
2022 Lexus NX 250 2.5 360 Camera HUD PCS Unreg,259000.0,Recon,32499,,2487.0,Lexus,NX
2008 Honda CIVIC 2.0 i-VTEC (A) 🏆🏆PADDLE SHIFT+-,28800.0,Used,104999,,1998.0,Honda,CIVIC
Proton PERSONA EXECUTIVE 1.6L (A) HIGH SPEC*L/SEAT,29800.0,Used,37499,,1597.0,Proton,PERSONA
Honda JAZZ FIT RS 1.5 V (A) i-VTEC *3 YEARS WRNTY,47800.0,Used,67499,,1497.0,Honda,JAZZ
Mazda CX-5 2.5 2WD (A) SUNROOF *BOSE SOUND *WRNTY,39800.0,Used,87499,,2488.0,Mazda,CX-5
Honda ACCORD 2.0 VTi-L FACELIFT (A) *3 YRS WRNTY,64800.0,Used,67499,,1997.0,Honda,ACCORD
X70 DISINI CASH REBATE TERTiNGGI PM SAYA LIMITED STOCK,99800.0,New,2499,,1477.0,Unknown,Unknown
Ford RANGER 2.2 XLT FACELIFT T8 4x4 6Sp CBU H/SPEC,81800.0,Used,42499,2022.0,2198.0,Ford,RANGER
LANDCRUISER 4.6 ZX URJ202W FL J300 MODELLISTA Rg15,158800.0,Used,77499,2012.0,4608.0,Unknown,Unknown
Honda ACCORD 1.5 TC CV1 LaneWatch FSR60kKM LikeNEW,105800.0,Used,57499,2020.0,1498.0,Honda,ACCORD
M B A180 AMG 1.6 W176 F/L A45 B/Kit CBU JAPAN Rg21,95500.0,Used,87499,2017.0,1595.0,Unknown,Unknown
Volkswagen BEETLE 1.2 TSI (A) FULLSERVICE HEADLAMP,34800.0,Used,114999,2012.0,1197.0,Volkswagen,BEETLE
Bmw 218i M SPORT 1.5L FACELIFT (A) WARRANTY 2027,132800.0,Used,52499,2022.0,1499.0,BMW,218i
