Title,Price,Condition,Mileage,Year,Engine Capacity
2023 Porsche Carrera GTS Unreg - Lifting. Carbon,"RM 1,280,000",New,10000 - 14999,N/A,2981cc
2024 Honda CIVIC 2.0 TYPE R FL5 NEW CAR BLUE UNREG,"RM 299,000",Recon,0 - 4999,N/A,1996cc
2023 Honda CIVIC 2.0 TYPE R 5A 3K KM WITH REPORT,"RM 282,000",Recon,0 - 4999,N/A,1996cc
2023 Honda CIVIC 2.0 TYPE R (FL5) NEW CAR 6A GRADE,"RM 279,000",Recon,0 - 4999,N/A,1995cc
2022 Toyota ALPHARD 2.5 X DIM BSM GRADE 4.5 18K KM,"RM 198,000",Recon,15000 - 19999,N/A,2493cc
2024 Toyota ALPHARD 2.5 Z New Car SR DIM BSM Unreg,"RM 338,000",Recon,0 - 4999,N/A,2493cc
2021 Honda CITY 1.5 V 29K KM Warranty Till 2026,"RM 71,800",Used,25000 - 29999,N/A,1498cc
2021 [JBL-4CAM-DIM-BSM]Toyota VELLFIRE 2.5 G/EYES,"RM 208,000",Recon,15000 - 19999,N/A,2494cc
2011 Honda CIVIC 2.0 i-VTEC (A) FREE WARRANTY,"RM 42,800",Used,95000 - 99999,2011,1998cc
2019 Toyota VELLFIRE 2.5 ZG (A)UNREG-7 YR WARRANTY,"RM 194,000",Recon,55000 - 59999,N/A,2493cc
2025 Perodua AXIA AV MY23 D74A (A),"RM 49,500",New,0 - 4999,N/A,998cc
2020 Proton X70 TGDI PREMIUM 2WD 1.8L (A) FULLSPEC,"RM 57,800",Used,80000 - 84999,2020,1799cc
2025 Perodua BEZZA 1.3 X MY16 FACELIFT (A),"RM 43,980",New,0 - 4999,N/A,1329cc
2025 Perodua BEZZA G MY16 FACELIFT (A),"RM 36,580",New,0 - 4999,N/A,998cc
2018 Ford RANGER 2.0 XLT 4wd (A) 74k low mileage,"RM 65,800",Used,70000 - 74999,2018,1998cc
2021 Toyota ALPHARD 2.5 SC (A),"RM 235,000",Recon,30000 - 34999,N/A,2493cc
2014 Perodua MYVI 1.3 SE ZHS (A),"RM 21,000",Used,85000 - 89999,2014,1298cc
2015 Mazda 3 1.6 SPORT (SEDAN) (A),"RM 34,000",Used,120000 - 129999,2015,1598cc
2020 Toyota ALPHARD 2.5 SC (A),"RM 245,000",Recon,25000 - 29999,N/A,2493cc
2020 Perodua MYVI 1.5 H (A),"RM 43,800",Used,30000 - 34999,2020,1496cc
2016 Perodua MYVI 1.5 SE FACELIFT (A),"RM 38,800",Used,70000 - 74999,2016,1495cc
2025 Perodua AXIA X MY23 D74A (A),"RM 40,000",New,0 - 4999,N/A,998cc
2020 Toyota VIOS 1.5 G (A)FULL SPEC/LOW MILEAGE,"RM 58,800",Used,70000 - 74999,2020,1496cc
2018 Perodua MYVI 1.5 H (A)CONVERT EXHAUST/BODTKIT,"RM 37,800",Used,90000 - 94999,2018,1496cc
2021 Lexus RX300 F SPORT 2.0L (A) FREE 6 WARRANTY.,"RM 275,000",Recon,35000 - 39999,N/A,1998cc
2018 Honda CIVIC 1.5 TC-PREMIUM F/SR WARANTY HOT,"RM 87,800",Used,90000 - 94999,2018,1498cc
Toyota VELLFIRE 3.5 EXECUTIVE LOUNGE (A) MAX LOAN!,"RM 132,800",Used,90000 - 94999,N/A,3456cc
2006 Honda CITY 1.5 i-DSI(A) CAR KING CASH BUYER!!,"RM 10,600",Used,130000 - 139999,N/A,1496cc
2020 Perodua AXIA 1.0 STYLE(A) LIMITED UNIT! HOT!!,"RM 29,800",Used,50000 - 54999,N/A,998cc
2025 Honda HR-V 1.5 All Model,"RM 110,000",New,0 - 4999,N/A,1498cc
2009 Toyota WISH 1.8 S (A),"RM 45,800",Used,85000 - 89999,N/A,1797cc
2021 Toyota C-HR 1.2 GT TURBO MODELLISTA,"RM 147,000",Recon,10000 - 14999,N/A,1197cc
2020 4059 Mercedes Benz A180 1.3 AMG (CBU) (A),"RM 165,000",Recon,15000 - 19999,N/A,1332cc
Toyota HARRIER 2.0 Z JBL 4CAM FULL SPEC 5A 5A 2023,"RM 213,000",Recon,5000 - 9999,N/A,1986cc
2025 Honda CITY 1.5 Sedan Dan Hatchback,"RM 80,000",New,0 - 4999,N/A,1498cc
2025 Perodua MYVI 1.5 H FACELIFT (A) FAST STOCK,"RM 55,110",New,0 - 4999,N/A,1496cc
2025 Perodua AXIA AV (A) FAST STOCK,"RM 49,655",New,0 - 4999,N/A,998cc
