Title,Price,Condition,Mileage,Year,Engine Capacity
2023 Toyota ALPHARD 2.5 Z  5k km 360 cam,"RM 339,700",Recon,0 - 4999,N/A,2493cc
2020 Toyota ALPHARD 2.5 SC ROOF DIM BSM,"RM 201,700",Recon,30000 - 34999,N/A,2493cc
2018-Toyota VELLFIRE 2.5 ZG (A)Pilot Seat,"RM 179,990",Used,80000 - 84999,2018,2493cc
2013 Bmw 528i 2.0 M-Sport F10 Facelift Twin Turbo,"RM 50,900",Used,110000 - 119999,2013,1997cc
2018 Toyota ALPHARD 2.5 SC F/Convert LM350 Bodykit,"RM 161,900",Used,80000 - 84999,2018,2493cc
2019 Proton X70 1.8 PREMIUM 2WD SUNROOF WARRANTY,"RM 51,800",Used,60000 - 64999,2019,1799cc
-2012- BMW 523i F10 2.5 M SPORT (A) SMOOTH ENGINE,"RM 34,980",Used,100000 - 109999,N/A,1997cc
2011 Honda CIVIC 1.8 S-L iVTEC SELING FAST LEATHER,"RM 27,800",Used,140000 - 149999,2011,1799cc
2013 Toyota ESTIMA 2.4 AERAS POWER SEAT POWER DOOR,"RM 75,800",Used,80000 - 84999,2013,2362cc
"2023 Lexus RX350 2.4 F SPORT 20 Units,TRD,5A,6A","RM 385,000",Recon,5000 - 9999,N/A,2393cc
2020 Toyota HARRIER 2.0 Z/JBL/HUD/DIM/BSM/GRD4.5,"RM 172,000",Recon,20000 - 24999,N/A,1986cc
2015 Perodua MYVI 1.3X(Auto) DIRECT OWNER,"RM 22,000",Used,150000 - 159999,2015,1298cc
2023 Toyota ALPHARD 2.5 Z Hybrid (A),"RM 358,000",Recon,5000 - 9999,N/A,2493cc
2023 Toyota ALPHARD Z 2.5 (A),"RM 352,000",Recon,0 - 4999,N/A,2493cc
2023 Toyota ALPHARD Z (A),"RM 363,000",Recon,5000 - 9999,N/A,2493cc
2015 Honda CITY 1.5 V (A),"RM 33,800",Used,90000 - 94999,2015,1497cc
2014 Honda CITY 1.5 E (A),"RM 41,875",Used,70000 - 74999,N/A,1497cc
2021 Toyota ALPHARD 2.5 SC (A),"RM 270,000",Recon,20000 - 24999,N/A,2493cc
2021 Toyota ALPHARD 2.5 SC,"RM 295,000",Recon,20000 - 24999,N/A,2493cc
2018 Proton EXORA 1.6 EXECUTIVE FACELIFT (A),"RM 27,900",Used,180000 - 189999,2018,1561cc
2018 Audi RS6 4.0 AVANT TFSi Quattro Wagon RS 6,"RM 418,000",Used,40000 - 44999,N/A,3993cc
2019 Mazda CX-5 2.2 D GLS 2WD (CKD) FACELIFT (A),"RM 66,800",Used,80000 - 84999,N/A,2191cc
2020 Honda JAZZ S 1.5L (A),"RM 54,800",Used,60000 - 64999,N/A,1497cc
2008 Toyota VIOS 1.5 G (A),"RM 22,800",Used,120000 - 129999,2008,1497cc
2007 Perodua MYVI 1.3 EZi (A),"RM 12,900",Used,160000 - 169999,2007,1298cc
2011 Perodua MYVI 1.3 SX FACELIFT (M),"RM 8,800",Used,160000 - 169999,2011,1298cc
2004 Proton GEN-2 1.6 (A),"RM 6,500",Used,0 - 4999,N/A,1597cc
kancil 850 auto 1998,"RM 3,500",Used,65000 - 69999,N/A,847cc
2018 Mitsubishi TRITON 2.4 VGT A/T (A),"RM 59,888",Used,180000 - 189999,2018,2442cc
2020 Mercedes Benz A250 2.0 AMG (A) HIGH SPECS,"RM 175,000",Recon,35000 - 39999,N/A,1991cc
2015 Perodua AXIA 1.0 G (A),"RM 16,500",Used,170000 - 179999,2015,998cc
13K KM PEARL CAPSULE 360CAM Lamborghini URUS 4.0,"RM 1,670,000",Recon,10000 - 14999,N/A,3996cc
2024 Chery TIGGO 2.0 8 PRO PREMIUM MY23 (A)ALL-IN,"RM 118,800",Used,25000 - 29999,2024,1998cc
"GRADE 5A, 8K KM 2021 Mercedes Benz G63 4.0 AMG","RM 918,000",Recon,5000 - 9999,N/A,3982cc
2021 Mercedes Benz CLA180 1.3 Turbo Coupe(A),"RM 192,000",Recon,25000 - 29999,N/A,1332cc
Mugen FullService Honda JAZZ 2021 Hatchback 1.5(A),"RM 58,800",Used,70000 - 74999,N/A,1497cc
GM6 TypeR Keyless HiLoan 2016 Honda CITY 1.5 E (A),"RM 33,800",Used,70000 - 74999,N/A,1497cc
SunRoof Leather Camera 2014 Hyundai ELANTRA 1.8(A),"RM 19,800",Used,90000 - 94999,N/A,1797cc
Camera360 Sunroof Leather BodyKit 2015 Mazda 3 2.0,"RM 37,800",Used,60000 - 64999,N/A,1998cc
Mercedes Benz E200 SPORTSTYLE 2.0 (A) SerRec Wrrty,"RM 163,777",Used,45000 - 49999,2020,1991cc
'15/21 Mini COOPER 2.0 S JCW Bkit Remus BBS Rims,"RM 83,777",Used,60000 - 64999,2015,1998cc
YM12/17 Toyota VELLFIRE 2.4 Z FLift 2PDoor 7Seater,"RM 77,777",Used,70000 - 74999,2012,2362cc
2014 Toyota HARRIER 2.0 PREMIUM 1 Owner Car King,"RM 75,777",Used,95000 - 99999,2014,1986cc
NEGO 2019 RangeRover VOGUE 5.0 V8 LWB AUTOBIOGRAPH,"RM 630,000",Recon,45000 - 49999,N/A,5000cc
